ID_SERIE;TIPO_PROVA;DISCIPLINA;ID_SERIE_ITEM;ID_BLOCO;ID_POSICAO;ID_ITEM;ID_DESCRITOR_HABILIDADE;GABARITO
2;Prova Regular;MT;2;7;2;119577;2M1.3;C
2;Prova Regular;MT;2;7;3;117313;2E1.2;B
2;Prova Regular;MT;2;7;4;117167;2G1.3;A
2;Prova Regular;MT;2;7;5;117306;2M1.6;D
2;Prova Regular;MT;2;7;6;117256;2M1.7;D
2;Prova Regular;MT;2;7;7;117105;2N1.5;A
2;Prova Regular;MT;2;7;8;117129;2N2.2;C
2;Prova Regular;MT;2;7;9;116006;2N1.6;C
3;Macrotipo;LP;3;1;1;110809;D6;A
3;Macrotipo;LP;3;1;2;110206;D9;D
3;Macrotipo;LP;3;1;3;110461;D12;E
3;Macrotipo;LP;3;1;4;45655;D14;E
3;Macrotipo;LP;3;1;5;45564;D18;B
3;Macrotipo;LP;3;1;6;45490;D21;C
3;Macrotipo;LP;9;1;7;109866;D12;C
3;Macrotipo;LP;9;1;8;109937;D14;B
3;Macrotipo;LP;9;1;9;111224;D16;D
3;Macrotipo;LP;3;1;10;111072;D14;E
3;Macrotipo;LP;3;1;11;111342;D15;C
3;Macrotipo;LP;3;1;12;69485;D17;B
3;Macrotipo;LP;3;1;13;111287;D19;A
3;Macrotipo;LP;3;2;1;110834;D7;C
3;Macrotipo;LP;3;2;2;110999;D10;D
3;Macrotipo;LP;3;2;3;109692;D12;D
3;Macrotipo;LP;3;2;4;34045;D9;B
3;Macrotipo;LP;3;2;5;45651;D6;E
3;Macrotipo;LP;3;2;6;45545;D7;A
3;Macrotipo;LP;9;2;7;109216;D6;B
3;Macrotipo;LP;9;2;8;70152;D8;A
3;Macrotipo;LP;9;2;9;110499;D12;A
3;Macrotipo;LP;3;2;10;109229;D15;A
3;Macrotipo;LP;3;2;11;68080;D17;D
3;Macrotipo;LP;3;2;12;110886;D18;B
3;Macrotipo;LP;3;2;13;110812;D20;B
3;Prova Regular;LP;3;1;1;109966;D1;E
3;Prova Regular;LP;3;1;2;69858;D5;A
3;Prova Regular;LP;3;1;3;109592;D10;B
3;Prova Regular;LP;3;1;4;70148;D2;D
3;Prova Regular;LP;3;1;5;69889;D15;B
3;Prova Regular;LP;3;1;6;69688;D1;D
3;Prova Regular;LP;9;1;7;110907;D13;A
3;Prova Regular;LP;9;1;8;110152;D1;C
3;Prova Regular;LP;9;1;9;109806;D8;C
3;Prova Regular;LP;3;1;10;110465;D13;B
3;Prova Regular;LP;3;1;11;109258;D15;C
3;Prova Regular;LP;3;1;12;69666;D19;C
3;Prova Regular;LP;3;1;13;111004;D21;C
3;Prova Regular;LP;3;2;1;110502;D2;D
3;Prova Regular;LP;3;2;2;111062;D7;A
3;Prova Regular;LP;3;2;3;110092;D10;A
3;Prova Regular;LP;3;2;4;66563;D5;A
3;Prova Regular;LP;3;2;5;65844;D2;B
3;Prova Regular;LP;3;2;6;65810;D13;D
3;Prova Regular;LP;9;2;7;69125;D18;A
3;Prova Regular;LP;9;2;8;109630;D15;A
3;Prova Regular;LP;9;2;9;109535;D19;C
3;Prova Regular;LP;3;2;10;110579;D13;C
3;Prova Regular;LP;3;2;11;110088;D16;E
3;Prova Regular;LP;3;2;12;110931;D18;B
3;Prova Regular;LP;3;2;13;110115;D21;A
3;Prova Regular;LP;3;3;1;110873;D4;E
3;Prova Regular;LP;3;3;2;110555;D8;D
3;Prova Regular;LP;3;3;3;109244;D11;E
3;Prova Regular;LP;3;3;4;65287;D2;E
3;Prova Regular;LP;3;3;5;46778;D9;B
3;Prova Regular;LP;3;3;6;46724;D16;A
3;Prova Regular;LP;9;3;7;109354;D2;D
3;Prova Regular;LP;9;3;8;111302;D11;B
3;Prova Regular;LP;9;3;9;109459;D6;B
3;Prova Regular;LP;3;3;10;110940;D14;A
3;Prova Regular;LP;3;3;11;109819;D16;E
3;Prova Regular;LP;3;3;12;110841;D18;A
3;Prova Regular;LP;3;3;13;111085;D19;A
3;Prova Regular;LP;3;4;1;110427;D5;B
3;Prova Regular;LP;3;4;2;110414;D9;E
3;Prova Regular;LP;3;4;3;109717;D12;C
3;Prova Regular;LP;3;4;4;33949;D10;E
3;Prova Regular;LP;3;4;5;34489;D16;E
3;Prova Regular;LP;3;4;6;45562;D19;C
3;Prova Regular;LP;9;4;7;109887;D12;C
3;Prova Regular;LP;9;4;8;109426;D21;A
3;Prova Regular;LP;9;4;9;110848;D7;C
3;Prova Regular;LP;3;4;10;110958;D14;E
3;Prova Regular;LP;3;4;11;69485;D17;B
3;Prova Regular;LP;3;4;12;109924;D19;C
3;Prova Regular;LP;3;4;13;67424;D20;A
3;Prova Regular;LP;3;5;1;110809;D6;A
3;Prova Regular;LP;3;5;2;110206;D9;D
3;Prova Regular;LP;3;5;3;110461;D12;E
3;Prova Regular;LP;3;5;4;45655;D14;E
3;Prova Regular;LP;3;5;5;45564;D18;B
3;Prova Regular;LP;3;5;6;45490;D21;C
3;Prova Regular;LP;9;5;7;109866;D12;C
3;Prova Regular;LP;9;5;8;109937;D14;B
3;Prova Regular;LP;9;5;9;111224;D16;D
3;Prova Regular;LP;3;5;10;111072;D14;E
3;Prova Regular;LP;3;5;11;111342;D15;C
3;Prova Regular;LP;3;5;12;110455;D17;A
3;Prova Regular;LP;3;5;13;111287;D19;A
3;Prova Regular;LP;3;6;1;110834;D7;C
3;Prova Regular;LP;3;6;2;110999;D10;D
3;Prova Regular;LP;3;6;3;109692;D12;D
3;Prova Regular;LP;3;6;4;34045;D9;B
3;Prova Regular;LP;3;6;5;45651;D6;E
3;Prova Regular;LP;3;6;6;45545;D7;A
3;Prova Regular;LP;9;6;7;109216;D6;B
3;Prova Regular;LP;9;6;8;70152;D8;A
3;Prova Regular;LP;9;6;9;110499;D12;A
3;Prova Regular;LP;3;6;10;109229;D15;A
3;Prova Regular;LP;3;6;11;68080;D17;D
3;Prova Regular;LP;3;6;12;110886;D18;B
3;Prova Regular;LP;3;6;13;110812;D20;B
3;Prova Regular;LP;3;7;1;110413;D3;D
3;Prova Regular;LP;3;7;2;110314;D8;E
3;Prova Regular;LP;3;7;3;69953;D4;E
3;Prova Regular;LP;3;7;4;34028;D6;E
3;Prova Regular;LP;3;7;5;34351;D15;C
3;Prova Regular;LP;3;7;6;34221;D1;B
3;Prova Regular;LP;9;7;7;69445;D17;A
3;Prova Regular;LP;9;7;8;110752;D7;D
3;Prova Regular;LP;9;7;9;110523;D1;A
3;Prova Regular;LP;3;7;10;110214;D11;C
3;Prova Regular;LP;3;7;11;109587;D14;C
3;Prova Regular;LP;3;7;12;65533;D16;D
3;Prova Regular;LP;3;7;13;110783;D20;E
3;Macrotipo;MT;3;1;1;110632;D34;C
3;Macrotipo;MT;3;1;2;65843;D18;B
3;Macrotipo;MT;3;1;3;66020;D31;A
3;Macrotipo;MT;3;1;4;29891;D20;D
3;Macrotipo;MT;3;1;5;47239;D15;B
3;Macrotipo;MT;3;1;6;70455;D19;A
3;Macrotipo;MT;9;1;7;22358;D16;C
3;Macrotipo;MT;9;1;8;112292;D24;A
3;Macrotipo;MT;9;1;9;110174;D3;D
3;Macrotipo;MT;3;1;10;111020;D24;E
3;Macrotipo;MT;3;1;11;109864;D13;C
3;Macrotipo;MT;3;1;12;110554;D25;D
3;Macrotipo;MT;3;1;13;103177;D32;B
3;Macrotipo;MT;3;2;1;111038;D34;C
3;Macrotipo;MT;3;2;2;110758;D29;E
